user_id,recipe_id,review,predicted_tuples
187281,136797,"A very good dish but make sure to use a quality red wine.  I used a grocery store cooking wine so it didn't add as much flavor. This dish has alot of French flair and is a very good meal.  This dish does have alot of saturated fat so we have it on our cheat day! (smile)  Also, you can decrease the amount of oil and butter if you use nonstick spray and a bit of olive oil as the other review suggested.","[('dish', 'very good', 'positive'), ('red wine', 'quality', 'positive'), ('cooking wine', 'did not add as much flavor', 'negative'), ('dish', 'alot of French flair', 'positive'), ('meal', 'very good', 'positive'), ('dish', 'alot of saturated fat', 'negative'), ('oil and butter', 'decrease the amount', 'neutral'), ('nonstick spray', 'bit of olive oil', 'neutral'), ('review', 'suggested', 'neutral')]

    [('dish', 'very good', 'positive'), ('red wine', 'quality', 'positive'), ('cooking wine', 'did not add as much flavor', 'negative'), ('dish', 'alot of French flair', 'positive'), ('meal', 'very good', 'positive'), ('dish', 'alot of saturated fat', 'negative'), ('oil and butter', 'decrease the amount', 'neutral'), ('"
20371,13214,"Fantastic! Not only are these both fast and easy to make, but the taste is terrific. Two comments: 1) I used a one-inch scoop and my yield was 40 rum balls; and 2) I'd recommend chilling the mixture for 15-30 mins before forming balls as it makes the process easier. Bergy, I'll be making these EVERY Xmas.","[('fast', 'fast', 'positive'), ('easy', 'easy', 'positive'), ('taste', 'terrific', 'positive'), ('yield', '40 rum balls', 'neutral'), ('mixture', 'chilling', 'neutral'), ('process', 'easier', 'positive'), ('Bergy', 'making', 'positive'), ('Xmas', 'Xmas', 'positive')]

[('fast', 'fast', 'positive'), ('easy', 'easy', 'positive'), ('taste', 'terrific', 'positive'), ('yield', '40 rum balls', 'neutral'), ('mixture', 'chilling', 'neutral'), ('process', 'easier', 'positive'), ('Bergy', 'making', 'positive'), ('Xmas', 'Xmas', 'positive')]"
1404661,188993,I made this for dinner tonight and added mussels. It was so good. Thank you for such an easy recipe :),"[('dinner', 'tonight', 'neutral'), ('mussels', 'added', 'neutral'), ('good', 'so', 'positive'), ('recipe', 'easy', 'positive')]"
1133653,63586,"I was pointed to this recipe by my daughter, and boy was she right on.  This is a great and an easy recipe.  I made it exactly as is since I had all the ingredients on hand.  I agree with TeacherLaLa that a little something sweet would be a great addition, but not absolutely needed.  I get to take the leftovers to work for lunch.  Yea!  Thanks for posting this recipe Hey Jude.","[('recipe', 'great', 'positive'), ('recipe', 'easy', 'positive'), ('recipe', 'little something sweet', 'neutral'), ('recipe', 'absolutely needed', 'negative'), ('recipe', 'leftovers', 'positive'), ('recipe', 'posting', 'positive')]"
145797,27421,"This is an excellent recipe. My mother made this when I was growing up. She got the recipe from a family friend in Dallas, Texas (church cookbook). Yummy...","[('recipe', 'excellent', 'positive'), ('mother', 'made', 'neutral'), ('recipe', 'got', 'neutral'), ('recipe', 'Yummy', 'positive')]

    [('recipe', 'excellent', 'positive'), ('mother', 'made', 'neutral'), ('recipe', 'got', 'neutral'), ('recipe', 'Yummy', 'positive')]"
200875,144878,"I have to give the recipe 5 stars, because this was my first time EVER making a pie crust!! And, though it didn't turn out perfectly, it was pretty darn good! I mixed it by hand and per the suggestion of a baker I know, I didn't use a rolling pin. Lessons learned: I didn't trim enough excess around my edges, so the edge of the crust was too thick. And I didn't roll out the crust enough, so it was pretty dense and thick (it was difficult since I used my hands). But it sure did taste good! The sweetness of the crust balanced out the sourness of the mulberry/rhubard filling.","[('recipe', '5 stars', 'positive'), ('pie crust', 'first time EVER', 'positive'), ('pie crust', 'didn\'t turn out perfectly', 'neutral'), ('pie crust', 'pretty darn good', 'positive'), ('pie crust', 'mixed it by hand', 'neutral'), ('baker', 'suggestion', 'neutral'), ('rolling pin', 'didn\'t use', 'neutral'), ('trim', 'didn\'t trim enough excess', 'negative'), ('edge', 'edge of the crust was too thick', 'negative'), ('crust', 'pretty dense and thick', 'neutral'), ('hands', 'difficult', 'negative'), ('crust', 'sure did taste good', 'positive'), ('crust', 'sweetness of the crust balanced out the sourness', 'positive'), ('mulberry/rhubard filling', 'sourness', 'negative')]"
451456,258623,"I made this as a vegetarian entree for Christmas eve.  It went over way better with the family than other veggie casseroles I have made in the past.  Unfortunately, one of my eggplants turned up missing, so I ended up using 1 eggplant and 1 large zucchini.  It was delicious.  I will definitely make it again.","[('vegetarian entree', 'delicious', 'positive'), ('family', 'better', 'positive'), ('veggie casseroles', 'unfortunately', 'negative'), ('eggplants', 'missing', 'negative'), ('eggplant', 'delicious', 'positive'), ('large zucchini', 'delicious', 'positive')]"
424680,348783,"This worked out very well for me, since I usually have frozen shredded pork on hand, so that cut off 3 hours of cookint time! I easily cut the recipe in half for 3 of us! A GREAT NEW WAY FOR US TO ENJOY PORK! Thanks for sharing the recipe! [Tagged, made & reviewed while on tour with ZWT5]","[('frozen shredded pork', 'worked out very well', 'positive'), ('cut off 3 hours', 'easily cut', 'positive'), ('recipe', 'A GREAT NEW WAY FOR US TO ENJOY PORK!', 'positive'), ('recipe', 'Thanks for sharing the recipe!', 'positive')]"
171303,153576,"Very nice flavor to this stir fry.  I did add snow peas, cabbage and some brocoflower simply because they needed used up and it was delish.  I did omit the salt and loved the kick that both the red pepper and black pepper gave to the dish.  Thank you Manami for sharing the recipe.","[('flavor', 'nice', 'positive'), ('stir fry', 'delish', 'positive'), ('snow peas', 'needed used up', 'neutral'), ('cabbage', 'needed used up', 'neutral'), ('brocoflower', 'needed used up', 'neutral'), ('salt', 'omitted', 'neutral'), ('red pepper', 'kick', 'positive'), ('black pepper', 'kick', 'positive')]

    [('flavor', 'nice', 'positive'), ('stir fry', 'delish', 'positive'), ('snow peas', 'needed used up', 'neutral'), ('cabbage', 'needed used up', 'neutral'), ('brocoflower', 'needed used up', 'neutral'), ('salt', 'omitted', 'neutral'), ('red pepper', 'kick', 'positive'), ('black pepper', 'kick', 'positive')]"
382071,206142,"This is an EASY WONDERFUL SOFT and SLIGHTLY SWEET bread! I used unbleached all-purpose flour and the whole wheat flour, 2T Splenda granular, 2T Splenda brown sugar blend, powdered egg replacer with 1/4 cup of water, 1 percent milk and Enova oil. I toasted my walnuts in the preheating oven while I made the batter. I baked it 40 minutes in a glass loaf pan. I tried this toasted and untoasted and I preferred it untoasted. Thanks for this KEEPER recipe! Made for 1-2-3 hit wonders.","[('EASY', 'WONDERFUL', 'positive'), ('SOFT', 'SLIGHTLY SWEET', 'positive'), ('bread', 'untoasted', 'neutral'), ('flour', 'unbleached', 'neutral'), ('flour', 'whole wheat', 'neutral'), ('Splenda granular', '2T', 'neutral'), ('Splenda brown sugar blend', '2T', 'neutral'), ('powdered egg replacer', '1/4 cup of water', 'neutral'), ('milk', '1 percent', 'neutral'), ('Enova oil', 'neutral', 'neutral'), ('walnuts', 'toasted', 'neutral'), ('batter', 'neutral', 'neutral'), ('glass loaf pan', 'neutral', 'neutral'), ('untoasted', 'preferred', 'positive'), ('KEEPER recipe', 'neutral', 'neutral'), ('1-2-3 hit wonders', 'neutral', 'neutral')]"
